t,B,R,E
25.5000000000001,0.213734876942128,0.037585984707769,0.00936097768116614
25.6000000000001,0.215790241605249,0.0376127496660775,0.00940820413459716
25.7000000000001,0.217864471833052,0.0376414407725742,0.00945486509140741
25.8000000000001,0.219957723418963,0.037672067316722,0.00950097855267767
25.9000000000001,0.22207015310727,0.037704638697532,0.00954656229786057
26.0000000000001,0.224201918592166,0.0377391644239648,0.00959163388862487
26.1000000000001,0.226353178516627,0.037775654115329,0.00963621067264446
26.2000000000001,0.228524092471107,0.0378141175016771,0.00968030978733295
26.3000000000001,0.230714820992065,0.0378545644241969,0.00972394816352461
26.4000000000001,0.232925525560307,0.0378970048356007,0.0097671425291024
26.5000000000001,0.235156368599142,0.0379414488005097,0.00980990941257398
26.6000000000001,0.237407513472352,0.0379879064958351,0.00985226514659632
26.7000000000001,0.239679124481967,0.0380363882111553,0.00989422587144972
26.8000000000001,0.24197136686585,0.0380869043490883,0.00993580753846204
26.9000000000001,0.244284406795072,0.0381394654256605,0.00997702591338367
27.0000000000001,0.246618411371094,0.0381940820706703,0.0100178965797142
27.1000000000001,0.248973548622732,0.0382507650280475,0.0100584349419812
27.2000000000001,0.251349987502914,0.0383095251562071,0.0100986562289721
27.3000000000001,0.253747897885223,0.0383703734283988,0.0101385754969198
27.4000000000001,0.256167450560219,0.0384333209330506,0.0101782076326421
27.5000000000001,0.258608817231529,0.0384983788741071,0.0102175673566365
27.6000000000001,0.261072170511723,0.0385655585713621,0.0102566692261309
27.7000000000001,0.263557683917946,0.0386348714607855,0.0102955276380893
27.8000000000001,0.266065531867318,0.0387063290948436,0.0103341568321761
27.9000000000001,0.26859588967209,0.0387799431428138,0.010372570893676
28.0000000000001,0.27114893353456,0.0388557253910919,0.0104107837563737
28.1000000000001,0.273724840541735,0.0389336877434935,0.0104488092053906
28.2000000000001,0.276323788659738,0.0390138422215481,0.0104866608799824
28.3000000000001,0.278945956727961,0.0390962009647858,0.0105243522762951
28.4000000000001,0.28159152445295,0.039180776231017,0.0105618967500818
28.5000000000001,0.284260672402031,0.0392675803966042,0.0105993075193813
28.6000000000001,0.286953581996649,0.0393566259567262,0.0106365976671564
28.7000000000001,0.289670435505451,0.0394479255256339,0.0106737801438961
28.8000000000001,0.292411416037068,0.039541491836898,0.0107108677701788
28.9000000000001,0.295176707532629,0.0396373377436482,0.0107478732391995
29.0000000000001,0.297966494757969,0.0397354762188031,0.0107848091192601
29.1000000000001,0.300780963295554,0.0398359203552917,0.0108216878562237
29.2000000000001,0.303620299536103,0.0399386833662652,0.0108585217759339
29.3000000000001,0.306484690669905,0.0400437785852994,0.0108953230865984
29.4000000000001,0.309374324677826,0.0401512194665869,0.0109321038811389
29.5000000000001,0.312289390322007,0.0402610195851198,0.0109688761395062
29.6000000000001,0.31523007713624,0.0403731926368617,0.0110056517309621
29.7000000000001,0.318196575416021,0.040487752438909,0.0110424424163284
29.8000000000001,0.321189076208278,0.0406047129296418,0.0110792598502023
29.9000000000001,0.324207771300767,0.0407240881688626,0.0111161155831407
30.0000000000001,0.327252853211123,0.0408458923379252,0.0111530210638118
30.1000000000001,0.330324515175582,0.0409701397398499,0.0111899876411154
30.2000000000001,0.333422951137343,0.0410968447994286,0.0112270265662725
30.3000000000001,0.336548355734586,0.0412260220633162,0.0112641489948844
30.4000000000001,0.339700924288133,0.0413576862001098,0.0113013659889604
30.5000000000001,0.342880852788747,0.0414918520004159,0.0113386885189176
30.6000000000002,0.346088337884059,0.0416285343769026,0.0113761274655492
30.7000000000002,0.349323576865137,0.0417677483643403,0.0114136936219655
30.8000000000002,0.352586767652664,0.041909509119627,0.0114513976955045
30.9000000000002,0.355878108782747,0.0420538319218006,0.0114892503096159
31.0000000000002,0.359197799392337,0.0422007321720362,0.0115272620057156
31.1000000000002,0.362546039204256,0.0423502253936288,0.0115654432450132
31.2000000000002,0.365923028511834,0.0425023272319613,0.0116038044103121
31.3000000000002,0.369328968163138,0.0426570534544563,0.0116423558077829
31.4000000000002,0.372764059544811,0.0428144199505131,0.0116811076687093
31.5000000000002,0.376228504565485,0.0429744427314284,0.0117200701512084
31.6000000000002,0.379722505638791,0.0431371379303003,0.0117592533419248
31.7000000000002,0.38324626566595,0.043302521801916,0.0117986672576989
31.8000000000002,0.386799988017934,0.0434706107226227,0.0118383218472094
31.9000000000002,0.390383876517205,0.0436414211901801,0.0118782269925914
32.0000000000002,0.393998135419023,0.0438149698235966,0.011918392511029
32.1000000000002,0.397642969392308,0.0439912733629465,0.0119588281563238
32.2000000000002,0.401318583500072,0.0441703486691691,0.0119995436204384
32.3000000000002,0.405025183179398,0.0443522127238489,0.0120405485350169
32.4000000000002,0.408762974220969,0.0445368826289771,0.0120818524728807
32.5000000000002,0.412532162748146,0.0447243756066932,0.0121234649495014
32.6000000000002,0.416332955195583,0.044914708999007,0.0121653954244498
32.7000000000002,0.420165558287381,0.0451079002675005,0.0122076533028228
32.8000000000002,0.424030179014774,0.0453039669930089,0.0122502479366468
32.9000000000002,0.427927024613344,0.0455029268752813,0.0122931886262585
33.0000000000002,0.431856302539761,0.0457047977326194,0.0123364846216645
33.1000000000002,0.43581822044804,0.0459095975014953,0.0123801451238771
33.2000000000002,0.439812986165318,0.0461173442361468,0.0124241792862296
33.3000000000002,0.443840807667143,0.0463280561081503,0.0124685962156698
33.4000000000002,0.447901893052272,0.0465417514059712,0.0125134049740313
33.5000000000002,0.451996450516972,0.046758448534491,0.0125586145792843
33.6000000000002,0.456124688328829,0.0469781660145108,0.0126042340067652
33.7000000000002,0.460286814800046,0.0472009224822315,0.0126502721903852
33.8000000000002,0.464483038260244,0.0474267366887084,0.0126967380238185
33.9000000000002,0.468713567028752,0.0476556274992825,0.0127436403616699
34.0000000000002,0.472978609386385,0.0478876138929862,0.0127909880206222
34.1000000000002,0.477278373546705,0.0481227149619232,0.0128387897805632
34.2000000000002,0.481613067626774,0.0483609499106233,0.0128870543856936
34.3000000000002,0.485982899617374,0.0486023380553702,0.012935790545614
34.4000000000002,0.490388077352713,0.0488468988235035,0.0129850069363932
34.5000000000002,0.494828808479607,0.049094651752693,0.0130347122016168
34.6000000000002,0.499305300426124,0.0493456164901859,0.0130849149534163
34.7000000000002,0.50381776036971,0.0495998127920262,0.0131356237734795
34.8000000000002,0.508366395204776,0.0498572605222463,0.0131868472140415
34.9000000000002,0.512951411509752,0.0501179796520292,0.013238593798857
35.0000000000002,0.51757301551361,0.0503819902588423,0.013290872024154
35.1000000000002,0.522231413061841,0.0506493125255422,0.013343690359569
35.2000000000002,0.526926809581901,0.0509199667394488,0.0133970572490633
35.3000000000002,0.531659410048114,0.0511939732913903,0.0134509811118217
35.4000000000002,0.536429418946034,0.0514713526747166,0.0135054703431322
35.5000000000002,0.541237040236265,0.0517521254842831,0.0135605333152484
